SYMBOL	fold
Aass	9
Aatf	2
Aatk	1
Abat	8
Abca1	0
Abca2	5
Abca3	4
Abca5	2
Abca7	0
Abca8a	7
Abca8b	0
Abca9	2
Abcb10	1
Abcb1a	4
Abcb1b	1
Abcb6	3
Abcb7	3
Abcb8	3
Abcb9	0
Abcc1	3
Abcc10	3
Abcc3	6
Abcc4	2
Abcc5	0
Abcc9	7
Abcd1	5
Abcd2	3
Abcd3	7
Abcd4	2
Abce1	9
Abcf1	6
Abcf2	1
Abcf3	9
Abcg1	5
Abcg2	2
Abhd10	5
Abhd11	3
Abhd12	6
Abhd13	2
Abhd14a	1
Abhd14b	0
Abhd15	7
Abhd16a	8
Abhd17a	2
Abhd17b	6
Abhd17c	1
Abhd18	3
Abhd2	9
Abhd3	8
Abhd4	2
Abhd5	3
Abhd6	1
Abhd8	0
Abi1	1
Abi2	0
Abi3	4
Abi3bp	5
Abitram	6
Abl1	4
Abl2	5
Ablim1	1
Ablim2	7
Ablim3	4
Abr	9
Abracl	3
Abraxas1	1
Abraxas2	1
Abt1	6
Abtb1	6
Abtb2	4
Acaa1a	1
Acaa2	9
Acaca	8
Acacb	6
Acad10	1
Acad11	6
Acad12	3
Acad8	9
Acad9	3
Acadl	8
Acadm	2
Acads	3
Acadsb	4
Acadvl	5
Acap2	0
Acap3	0
Acat1	9
Acat2	5
Acbd3	2
Acbd4	4
Acbd5	0
Acbd6	4
Accs	7
Acd	3
Ace	0
Acer2	4
Acer3	7
Ache	0
Acin1	1
Ackr3	4
Acly	9
Aco1	2
Aco2	0
Acot1	8
Acot11	4
Acot13	5
Acot2	1
Acot6	9
Acot7	1
Acot8	6
Acot9	6
Acox1	0
Acox3	7
Acp1	5
Acp2	8
Acp5	7
Acp6	4
Acpp	0
Acsbg1	2
Acsf2	8
Acsf3	0
Acsl1	2
Acsl3	5
Acsl4	7
Acsl5	4
Acsl6	3
Acss1	4
Acss2	2
Acss3	7
Acta1	1
Acta2	9
Actb	4
Actg1	8
Actl6a	4
Actn1	8
Actn4	6
Actr10	0
Actr1a	1
Actr1b	3
Actr2	0
Actr3	3
Actr3b	1
Actr5	1
Actr6	8
Actr8	5
Acvr1	2
Acvr1b	5
Acvr2a	3
Acvr2b	9
Acvrl1	6
Acy1	3
Acy3	4
Acyp1	7
Acyp2	1
Ada	4
Adal	3
Adam10	9
Adam11	8
Adam12	3
Adam15	3
Adam17	0
Adam19	7
Adam22	0
Adam23	7
Adam9	7
Adamts1	8
Adamts2	4
Adamts4	8
Adamts5	2
Adamts9	5
Adamtsl1	5
Adamtsl2	9
Adamtsl4	0
Adap1	1
Adap2	8
Adar	3
Adarb1	2
Adat1	2
Adat2	6
Adck1	5
Adck2	7
Adck5	2
Adcy3	3
Adcy6	8
Adcy7	1
Adcy9	3
Adcyap1r1	4
Add1	7
Add3	9
Adgra2	2
Adgra3	3
Adgre1	4
Adgre5	8
Adgrf5	9
Adgrg1	7
Adgrg6	7
Adgrl1	0
Adgrl2	5
Adgrl3	1
Adgrl4	0
Adh1	7
Adh5	8
Adh7	2
Adhfe1	8
Adi1	4
Adipor1	2
Adipor2	2
Adk	1
Adm	8
Adnp2	4
Ado	4
Adora1	2
Adora2b	5
Adpgk	5
Adprh	9
Adprhl2	3
Adprm	5
Adra1b	6
Adrb2	7
Adrm1	7
Adsl	2
Adss	5
Adssl1	7
Aebp1	8
Aebp2	2
Aen	5
Afap1	8
Afap1l1	9
Afap1l2	4
Afdn	6
Aff1	6
Aff2	8
Aff3	5
Aff4	2
Afg1l	8
Afg3l1	4
Afg3l2	8
Afmid	9
Aftph	8
Aga	9
Agap1	2
Agap2	1
Agap3	0
Agbl5	2
Agfg1	2
Agfg2	5
Aggf1	0
Agk	6
Agl	2
Agmo	1
Ago1	7
Ago2	9
Ago3	2
Agpat1	7
Agpat2	1
Agpat3	7
Agpat4	8
Agpat5	2
Agps	2
Agrn	8
Agt	1
Agtpbp1	2
Agtrap	1
Ahctf1	1
Ahcy	7
Ahcyl1	5
Ahcyl2	2
Ahdc1	8
Ahi1	9
Ahnak	5
Ahr	0
Ahsa1	3
Ahsa2	6
Aida	3
Aif1	1
Aif1l	4
Aifm1	3
Aifm2	4
Aifm3	4
Aig1	2
Aim2	4
Aimp1	5
Aimp2	4
Aip	7
Ajuba	3
Ak1	7
Ak2	2
Ak3	9
Ak4	1
Ak5	7
Ak6	7
Akap1	7
Akap10	6
Akap11	4
Akap12	5
Akap13	5
Akap17b	8
Akap7	9
Akap8	8
Akap8l	2
Akap9	5
Akip1	9
Akirin1	8
Akirin2	1
Akna	3
Akr1a1	6
Akr1b10	8
Akr1b3	4
Akr1b8	3
Akr1c13	2
Akr1c14	5
Akr1e1	8
Akr7a5	9
Akt1	0
Akt1s1	5
Akt2	0
Akt3	5
Aktip	5
Alad	1
Alas1	6
Alas2	2
Alcam	5
Aldh16a1	7
Aldh18a1	1
Aldh1a1	1
Aldh1a2	3
Aldh1b1	0
Aldh1l1	3
Aldh1l2	3
Aldh2	5
Aldh3a2	7
Aldh3b1	0
Aldh4a1	6
Aldh5a1	9
Aldh6a1	4
Aldh7a1	6
Aldh9a1	3
Aldoa	3
Aldoc	4
Alg1	3
Alg10b	2
Alg11	0
Alg12	7
Alg13	3
Alg14	5
Alg2	6
Alg3	7
Alg5	5
Alg6	3
Alg8	6
Alg9	0
Alkbh1	0
Alkbh2	6
Alkbh3	2
Alkbh4	8
Alkbh5	1
Alkbh6	8
Alkbh7	7
Alkbh8	8
Alms1	1
Alox5ap	3
Alpl	9
Als2	5
Als2cl	0
Alyref	4
Alyref2	7
Amacr	3
Ambra1	5
Amdhd2	8
Amer1	8
Amfr	3
Amigo1	5
Amigo2	2
Ammecr1	2
Ammecr1l	6
Amn1	8
Amot	8
Amotl1	8
Amotl2	3
Ampd2	7
Ampd3	7
Amph	4
Amt	8
Amz2	0
Anapc1	1
Anapc10	0
Anapc11	6
Anapc13	9
Anapc15	7
Anapc16	3
Anapc2	2
Anapc4	3
Anapc5	0
Anapc7	5
Ang	1
Angel1	5
Angel2	1
Angpt1	3
Angpt2	4
Angptl2	4
Angptl4	1
Angptl6	9
Ank	6
Ank2	3
Ank3	8
Ankfy1	0
Ankhd1	8
Ankib1	3
Ankle1	2
Ankle2	5
Ankmy2	5
Ankra2	0
Ankrd10	1
Ankrd11	5
Ankrd12	6
Ankrd13a	1
Ankrd13b	1
Ankrd13c	7
Ankrd13d	0
Ankrd16	0
Ankrd17	6
Ankrd24	4
Ankrd26	1
Ankrd27	4
Ankrd28	4
Ankrd29	0
Ankrd33b	6
Ankrd37	8
Ankrd39	7
Ankrd40	1
Ankrd42	6
Ankrd44	5
Ankrd45	1
Ankrd46	6
Ankrd49	5
Ankrd50	9
Ankrd52	1
Ankrd54	9
Ankrd9	1
Anks1	5
Anks3	6
Ankzf1	2
Anln	0
Ano1	0
Ano10	1
Ano6	6
Ano8	5
Anp32a	7
Anp32b	5
Anp32e	2
Anpep	9
Antxr1	1
Antxr2	8
Anxa1	4
Anxa11	7
Anxa2	9
Anxa3	9
Anxa4	1
Anxa5	8
Anxa6	9
Anxa7	5
Anxa8	0
Aopep	0
Aox1	6
Ap1ar	2
Ap1b1	4
Ap1g1	8
Ap1g2	8
Ap1m1	9
Ap1s1	1
Ap1s2	9
Ap1s3	4
Ap2a1	5
Ap2a2	8
Ap2b1	1
Ap2m1	9
Ap2s1	9
Ap3b1	1
Ap3b2	3
Ap3d1	7
Ap3m1	6
Ap3m2	2
Ap3s1	2
Ap3s2	5
Ap4b1	0
Ap4e1	3
Ap4m1	7
Ap4s1	9
Ap5b1	0
Ap5m1	9
Ap5s1	9
Ap5z1	2
Apaf1	2
Apba3	2
Apbb1	6
Apbb1ip	8
Apbb2	6
Apbb3	3
Apc	0
Apcdd1	2
Apeh	6
Apex1	3
Apex2	6
Aph1a	1
Aph1b	0
Aph1c	3
Api5	3
Apip	2
Aplf	6
Apln	9
Aplp1	6
Aplp2	9
Apmap	6
Apoa2	6
Apobec1	9
Apobec3	0
Apoc1	7
Apod	8
Apoe	0
Apoo	1
Apool	9
Apopt1	7
App	6
Appbp2	9
Appl1	1
Appl2	4
Aprt	8
Aptx	0
Aqp1	1
Aqp11	1
Aqp3	5
Aqp4	2
Aqr	6
Ar	5
Araf	7
Arap1	1
Arap2	7
Arap3	9
Arc	7
Arcn1	1
Arel1	8
Arf1	7
Arf2	4
Arf3	6
Arf4	6
Arf5	7
Arf6	5
Arfgap1	1
Arfgap2	1
Arfgap3	3
Arfgef1	7
Arfgef2	3
Arfgef3	4
Arfip1	4
Arfip2	4
Arfrp1	9
Arg1	1
Arg2	1
Arglu1	3
Arhgap1	4
Arhgap10	7
Arhgap11a	3
Arhgap12	4
Arhgap17	9
Arhgap18	3
Arhgap19	7
Arhgap21	7
Arhgap22	5
Arhgap23	1
Arhgap24	9
Arhgap25	7
Arhgap26	8
Arhgap27	6
Arhgap28	3
Arhgap29	4
Arhgap30	7
Arhgap31	7
Arhgap32	1
Arhgap33	9
Arhgap35	6
Arhgap39	5
Arhgap42	8
Arhgap44	4
Arhgap45	2
Arhgap5	6
Arhgap6	7
Arhgdia	1
Arhgdib	4
Arhgdig	7
Arhgef1	3
Arhgef10	6
Arhgef10l	6
Arhgef11	2
Arhgef12	3
Arhgef15	4
Arhgef16	4
Arhgef17	9
Arhgef18	3
Arhgef19	6
Arhgef2	2
Arhgef25	9
Arhgef26	2
Arhgef28	2
Arhgef3	9
Arhgef39	8
Arhgef40	4
Arhgef5	6
Arhgef6	3
Arhgef7	7
Arhgef9	5
Arid1a	7
Arid1b	2
Arid2	5
Arid3a	7
Arid3b	8
Arid4a	4
Arid4b	0
Arid5a	7
Arid5b	7
Arih1	9
Arih2	3
Arl1	8
Arl10	4
Arl13b	8
Arl14ep	2
Arl15	9
Arl16	8
Arl2	5
Arl2bp	7
Arl3	9
Arl4a	2
Arl4c	3
Arl4d	1
Arl5a	8
Arl5b	9
Arl6	2
Arl6ip1	1
Arl6ip4	1
Arl6ip5	4
Arl6ip6	6
Arl8a	1
Arl8b	6
Armc1	6
Armc10	0
Armc5	5
Armc6	7
Armc7	7
Armc8	3
Armc9	8
Armcx1	2
Armcx2	3
Armcx3	2
Armcx4	6
Armcx5	5
Armcx6	6
Armh3	3
Armh4	6
Armt1	5
Arnt	3
Arnt2	8
Arntl	3
Arpc1a	9
Arpc1b	3
Arpc2	1
Arpc3	2
Arpc4	5
Arpc5	2
Arpc5l	3
Arpin	9
Arpp19	6
Arrb1	4
Arrb2	9
Arrdc1	3
Arrdc2	7
Arrdc3	8
Arrdc4	3
Arsa	0
Arsb	6
Arsg	8
Arsk	8
Art3	6
Arv1	6
Arvcf	1
As3mt	8
Asah1	4
Asah2	2
Asap1	8
Asap2	6
Asap3	9
Asb1	2
Asb13	4
Asb3	9
Asb6	0
Asb7	3
Asb8	8
Ascc1	2
Ascc2	5
Ascc3	8
Asf1a	0
Asf1b	7
Ash1l	1
Ash2l	3
Asic1	7
Asl	1
Asna1	4
Asns	0
Aspa	3
Asph	1
Aspm	3
Aspscr1	3
Asrgl1	7
Ass1	5
Aste1	8
Astn2	5
Asxl1	6
Asxl2	9
Atad1	1
Atad2	7
Atad2b	5
Atad3a	1
Atad5	5
Atat1	7
Ate1	4
Atf1	8
Atf2	7
Atf3	3
Atf4	4
Atf5	2
Atf6	2
Atf6b	0
Atf7	2
Atf7ip	2
Atg10	6
Atg101	7
Atg12	7
Atg13	5
Atg14	3
Atg16l1	5
Atg16l2	0
Atg2a	4
Atg2b	8
Atg3	8
Atg4b	2
Atg4c	0
Atg4d	4
Atg5	8
Atg7	3
Atg9a	2
Atic	8
Atl1	1
Atl2	8
Atl3	6
Atm	1
Atmin	7
Atoh8	6
Atox1	3
Atp11a	5
Atp11b	0
Atp11c	9
Atp13a1	2
Atp13a2	3
Atp13a3	7
Atp1a1	0
Atp1a2	4
Atp1a3	4
Atp1b1	9
Atp1b2	7
Atp1b3	9
Atp23	6
Atp2a2	6
Atp2a3	6
Atp2b1	8
Atp2b2	3
Atp2b4	8
Atp2c1	4
Atp5a1	4
Atp5b	4
Atp5c1	6
Atp5d	3
Atp5e	0
Atp5g1	2
Atp5g2	4
Atp5g3	5
Atp5h	8
Atp5j	1
Atp5j2	6
Atp5k	6
Atp5l	5
Atp5md	7
Atp5mpl	5
Atp5o	8
Atp5pb	4
Atp6ap1	9
Atp6ap2	5
Atp6v0a1	0
Atp6v0a2	7
Atp6v0b	6
Atp6v0c	3
Atp6v0d1	7
Atp6v0e	2
Atp6v0e2	7
Atp6v1a	7
Atp6v1b2	0
Atp6v1c1	5
Atp6v1d	7
Atp6v1e1	9
Atp6v1f	5
Atp6v1g1	7
Atp6v1h	3
Atp7a	9
Atp7b	7
Atp8a1	8
Atp8b2	8
Atp9a	1
Atp9b	1
Atpaf1	5
Atpaf2	7
Atpif1	4
Atpsckmt	4
Atr	6
Atraid	9
Atrip	8
Atrn	2
Atrnl1	4
Atrx	8
Atxn1	7
Atxn10	3
Atxn1l	3
Atxn2	7
Atxn2l	5
Atxn3	8
Atxn7	9
Atxn7l1	7
Atxn7l2	8
Atxn7l3	8
Atxn7l3b	3
Auh	7
Aunip	9
Aup1	0
Aurka	2
Aurkaip1	0
Aurkb	5
Auts2	4
Aven	3
Avl9	3
Avpi1	7
Axin1	0
Axin2	2
Axl	4
Azi2	6
Azin1	8
Azin2	2
B230118H07Rik	7
B230217C12Rik	3
B230219D22Rik	6
B230307C23Rik	4
B2m	0
B3galnt1	4
B3galnt2	1
B3galt1	6
B3galt4	5
B3galt6	8
B3gat3	7
B3glct	7
B3gnt2	8
B3gnt3	0
B3gnt7	2
B3gntl1	3
B4galnt1	9
B4galnt4	6
B4galt1	5
B4galt2	8
B4galt3	4
B4galt4	7
B4galt5	8
B4galt6	6
B4galt7	5
B630019K06Rik	3
B9d1	1
B9d2	3
BC003965	6
BC004004	2
BC005537	1
BC005624	3
BC017158	9
BC024978	6
BC028528	1
BC029722	5
BC031181	9
BC048403	8
BC052040	7
BC055324	4
Babam1	9
Babam2	0
Bace1	5
Bace2	5
Bach1	7
Bach2	6
Bad	3
Bag1	0
Bag2	5
Bag3	2
Bag4	4
Bag5	7
Bag6	9
Bahcc1	1
Bahd1	5
Baiap2	0
Baiap2l1	3
Bak1	3
Bambi	6
Banf1	6
Banp	4
Bap1	6
Bard1	4
Basp1	1
Bax	7
Baz1a	9
Baz1b	8
Baz2a	1
Baz2b	3
Bbc3	8
Bbip1	6
Bbox1	7
Bbs1	0
Bbs10	6
Bbs12	7
Bbs2	3
Bbs4	9
Bbs5	2
Bbs7	3
Bbs9	1
Bbx	7
Bcam	1
Bcap29	1
Bcap31	9
Bcar1	6
Bcar3	5
Bcas2	6
Bcas3	6
Bcat1	6
Bcat2	7
Bccip	4
Bcdin3d	7
Bche	8
Bckdha	4
Bckdhb	1
Bckdk	5
Bcl10	6
Bcl11a	0
Bcl11b	2
Bcl2	1
Bcl2l1	0
Bcl2l11	0
Bcl2l12	3
Bcl2l13	0
Bcl3	7
Bcl6	7
Bcl7a	0
Bcl7b	1
Bcl7c	0
Bcl9	8
Bcl9l	0
Bclaf1	8
Bclaf3	5
Bcor	6
Bcorl1	2
Bcr	0
Bcs1l	6
Bdh1	7
Bdh2	0
Bdnf	6
Bdp1	3
Becn1	1
Bend3	7
Bend4	9
Bend5	3
Bend7	1
Bet1	3
Bet1l	6
Bex1	2
Bex2	8
Bex3	1
Bex4	4
Bfar	4
Bgn	0
Bhlhb9	3
Bhlhe40	2
Bhlhe41	2
Bicc1	7
Bicd1	0
Bicd2	3
Bicdl1	7
Bicra	4
Bicral	9
Bid	9
Bin1	1
Bin2	4
Bin3	9
Birc2	1
Birc3	0
Birc5	7
Birc6	4
Bivm	0
Blcap	3
Blm	3
Blmh	3
Blnk	0
Bloc1s1	6
Bloc1s2	0
Bloc1s3	8
Bloc1s4	3
Bloc1s5	5
Bloc1s6	2
Blvra	3
Blvrb	2
Blzf1	9
Bmerb1	4
Bmf	8
Bmi1	5
Bmp1	0
Bmp2	7
Bmp2k	1
Bmp4	3
Bmp6	4
Bmp7	4
Bmper	9
Bmpr1a	1
Bmpr1b	8
Bmpr2	5
Bms1	2
Bmt2	0
Bmyc	3
Bnc2	9
Bnip1	1
Bnip2	4
Bnip3	0
Bnip3l	4
Boc	7
Bod1	8
Bod1l	2
Bok	5
Bola1	8
Bola2	9
Bola3	0
Bop1	8
Bora	3
Borcs5	7
Borcs6	6
Borcs7	3
Borcs8	9
Bpgm	4
Bphl	8
Bpnt1	2
Bptf	7
Braf	5
Brap	5
Brat1	8
Brca1	0
Brca2	2
Brcc3	4
Brd1	2
Brd2	9
Brd3	7
Brd4	8
Brd7	0
Brd8	4
Brd9	3
Brf1	6
Brf2	8
Bri3	5
Bri3bp	9
Brip1	9
Brix1	4
Brk1	2
Brms1l	8
Brox	5
Brpf1	2
Brpf3	7
Brsk1	2
Brwd1	4
Brwd3	0
Bscl2	0
Bsdc1	5
Bsg	1
Bst2	9
Btaf1	7
Btbd1	2
Btbd10	5
Btbd11	3
Btbd19	8
Btbd2	8
Btbd3	8
Btbd6	8
Btbd7	4
Btbd8	2
Btbd9	4
Btd	7
Btf3	3
Btg1	0
Btg2	6
Btg3	0
Btrc	0
Bub1	6
Bub1b	1
Bub3	9
Bud13	0
Bud23	8
Bud31	5
Bysl	5
Bzw1	4
Bzw2	2
C030006K11Rik	5
C130074G19Rik	2
C1d	2
C1galt1	3
C1galt1c1	2
C1qa	9
C1qb	1
C1qbp	1
C1qc	7
C1ql3	2
C1qtnf1	8
C1qtnf12	3
C1qtnf4	8
C1qtnf6	1
C1ra	5
C1rl	8
C1s1	8
C2cd2	6
C2cd2l	6
C2cd3	2
C2cd5	7
C3	6
C330007P06Rik	2
C330018D20Rik	1
C3ar1	5
C4b	5
C530008M17Rik	6
C5ar1	2
C77080	6
C87436	3
C9orf72	1
Caap1	6
Cab39	6
Cab39l	2
Cabin1	2
Cables1	1
Cables2	3
Cabp1	2
Cacfd1	0
Cachd1	7
Cacna1a	6
Cacna2d1	7
Cacna2d2	4
Cacnb1	9
Cacnb3	0
Cacng7	6
Cactin	1
Cacul1	6
Cacybp	7
Cad	0
Cadm1	6
Cadm3	0
Cadm4	7
Cadps2	8
Calb2	5
Calcoco1	3
Calcrl	6
Cald1	7
Calhm2	8
Calhm5	9
Calm1	1
Calm2	6
Calm3	4
Calml4	7
Calr	0
Calr3	6
Calu	3
Camk1	1
Camk1d	8
Camk2a	4
Camk2b	4
Camk2d	5
Camk2g	9
Camk2n1	9
Camk2n2	3
Camk4	7
Camkk1	7
Camkk2	8
Camkmt	2
Camkv	5
Caml	0
Camsap1	3
Camsap2	5
Camsap3	4
Camta1	2
Camta2	3
Cand1	1
Cand2	7
Cant1	3
Canx	9
Cap1	4
Cap2	8
Capg	8
Capn1	5
Capn10	6
Capn15	0
Capn2	9
Capn5	8
Capn6	6
Capn7	1
Capns1	7
Caprin1	5
Caprin2	6
Capza1	0
Capza2	1
Capzb	2
Car11	8
Car12	8
Car13	8
Car14	0
Car2	2
Car3	1
Car5b	9
Car8	1
Card10	3
Card19	0
Card6	3
Carf	8
Carhsp1	7
Carm1	5
Carmil1	6
Carnmt1	4
Cars	4
Cars2	3
Casc3	8
Casc4	1
Casd1	2
Cask	8
Caskin2	0
Casp1	4
Casp12	3
Casp2	0
Casp3	2
Casp4	8
Casp6	1
Casp7	9
Casp8	9
Casp8ap2	7
Casp9	0
Cast	0
Castor1	3
Castor2	6
Casz1	4
Cat	5
Cav1	5
Cav2	5
Cavin1	8
Cavin2	5
Cavin3	6
Cbarp	7
Cbfa2t2	2
Cbfa2t3	0
Cbfb	8
Cbl	8
Cblb	0
Cblc	1
Cbll1	7
Cbln1	6
Cbr1	6
Cbr2	5
Cbr3	9
Cbr4	9
Cbs	6
Cbwd1	2
Cbx1	7
Cbx2	4
Cbx3	3
Cbx4	9
Cbx5	8
Cbx6	2
Cbx7	0
Cbx8	4
Cby1	6
Cc2d1a	0
Cc2d1b	2
Cc2d2a	7
Ccar1	2
Ccar2	2
Ccbe1	7
Ccdc102a	2
Ccdc106	5
Ccdc107	9
Ccdc112	5
Ccdc115	4
Ccdc117	6
Ccdc12	3
Ccdc120	9
Ccdc122	8
Ccdc124	7
Ccdc125	0
Ccdc126	4
Ccdc127	7
Ccdc130	9
Ccdc134	5
Ccdc136	3
Ccdc137	8
Ccdc138	6
Ccdc14	6
Ccdc141	6
Ccdc149	9
Ccdc15	3
Ccdc151	7
Ccdc157	5
Ccdc160	7
Ccdc163	5
Ccdc166	2
Ccdc167	1
Ccdc173	1
Ccdc174	2
Ccdc181	3
Ccdc186	6
Ccdc189	8
Ccdc191	1
Ccdc22	1
Ccdc25	3
Ccdc28a	4
Ccdc28b	6
Ccdc3	5
Ccdc32	1
Ccdc34	0
Ccdc43	0
Ccdc47	2
Ccdc50	6
Ccdc51	6
Ccdc57	9
Ccdc58	5
Ccdc59	6
Ccdc6	6
Ccdc61	6
Ccdc66	8
Ccdc68	1
Ccdc71	3
Ccdc71l	2
Ccdc77	4
Ccdc8	6
Ccdc80	9
Ccdc82	3
Ccdc84	6
Ccdc85b	8
Ccdc85c	4
Ccdc86	7
Ccdc88a	6
Ccdc88c	3
Ccdc9	6
Ccdc90b	8
Ccdc91	5
Ccdc92	5
Ccdc93	0
Ccdc97	6
Ccdc9b	6
Cchcr1	6
Ccl2	2
Ccl25	6
Ccl27a	1
Ccl6	3
Ccl9	3
Ccm2	4
Ccn1	6
Ccn2	8
Ccn3	1
Ccn4	9
Ccna2	1
Ccnb1	9
Ccnb2	5
Ccnc	8
Ccnd1	3
Ccnd2	2
Ccnd3	3
Ccndbp1	0
Ccne1	4
Ccne2	4
Ccnf	1
Ccng1	4
Ccng2	5
Ccnh	4
Ccni	0
Ccnj	5
Ccnjl	3
Ccnk	3
Ccnl1	9
Ccnl2	5
Ccnq	0
Ccnt1	3
Ccnt2	4
Ccny	5
Ccnyl1	0
Ccp110	0
Ccpg1os	6
Ccr5	2
Ccs	8
Ccsap	3
Ccser2	6
Cct2	1
Cct3	5
Cct4	6
Cct5	0
Cct6a	4
Cct7	5
Cct8	5
Ccz1	3
Cd109	7
Cd14	8
Cd151	0
Cd164	4
Cd180	6
Cd1d1	6
Cd200	1
Cd248	4
Cd24a	5
Cd274	7
Cd276	8
Cd2ap	0
Cd2bp2	7
Cd300a	6
Cd302	9
Cd320	1
Cd34	4
Cd36	8
Cd37	2
Cd38	0
Cd3eap	0
Cd44	0
Cd47	0
Cd48	2
Cd52	7
Cd53	3
Cd55	6
Cd59a	8
Cd63	7
Cd68	2
Cd72	0
Cd74	8
Cd81	1
Cd82	6
Cd83	6
Cd84	4
Cd86	6
Cd9	0
Cd93	5
Cd99l2	6
Cda	8
Cdadc1	3
Cdan1	2
Cdc123	8
Cdc14a	1
Cdc14b	0
Cdc16	2
Cdc20	0
Cdc23	5
Cdc25a	1
Cdc25b	5
Cdc25c	1
Cdc26	7
Cdc27	4
Cdc34	7
Cdc37	0
Cdc37l1	8
Cdc40	4
Cdc42	5
Cdc42bpa	0
Cdc42bpb	9
Cdc42bpg	8
Cdc42ep1	8
Cdc42ep2	1
Cdc42ep3	7
Cdc42ep4	9
Cdc42ep5	9
Cdc42se1	0
Cdc42se2	9
Cdc45	2
Cdc5l	7
Cdc6	5
Cdc7	6
Cdc73	3
Cdca2	5
Cdca3	9
Cdca4	2
Cdca5	3
Cdca7	3
Cdca7l	8
Cdca8	7
Cdh1	9
Cdh11	5
Cdh13	9
Cdh2	5
Cdh24	3
Cdh3	9
Cdh4	8
Cdh5	4
Cdh6	6
Cdip1	2
Cdipt	7
Cdk1	0
Cdk10	9
Cdk11b	4
Cdk12	0
Cdk13	2
Cdk14	0
Cdk16	3
Cdk17	4
Cdk18	8
Cdk19	6
Cdk2	4
Cdk20	0
Cdk2ap2	3
Cdk4	7
Cdk5	0
Cdk5r1	9
Cdk5rap1	0
Cdk5rap2	3
Cdk5rap3	5
Cdk6	9
Cdk7	7
Cdk8	3
Cdk9	1
Cdkal1	8
Cdkl2	8
Cdkl3	6
Cdkl5	2
Cdkn1a	2
Cdkn1b	4
Cdkn1c	0
Cdkn2a	1
Cdkn2aip	9
Cdkn2aipnl	6
Cdkn2b	6
Cdkn2c	9
Cdkn2d	3
Cdkn3	8
Cdo1	8
Cdon	1
Cdpf1	5
Cdr2	6
Cdr2l	9
Cds1	8
Cds2	2
Cdt1	9
Cdv3	1
Cdyl	8
Cdyl2	2
Ceacam1	5
Cebpa	5
Cebpb	2
Cebpd	3
Cebpg	4
Cebpz	3
Cebpzos	4
Cecr2	5
Cela1	3
Celf1	6
Celf2	6
Celf4	6
